FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT
BTA3844,F1-1,LEFT THREE THIRTY JET LINK THIRTY EIGHT FORTY FOUR,1138.66,1140.54,L02F1-0185,
F1-1,DAL258,DELTA TWO FIFTY EIGHT CONTACT THE TOWER ONE ONE NINER POINT ONE,1140.55,1143.16,L02F1-0186,
DAL258,F1-1,ONE NINETEEN ONE GOOD DAY,1143.12,1144.62,L02F1-0187,
F1-1,DAL258 PCN3521,GOOD DAY NOW PRECISION THIRTY FIVE TWENTY ONE CONTACT THE TOWER ONE ONE     NINER POINT ONE,1144.63,1147.62,L02F1-0188,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
PCN3521,F1-1,NINETEEN ONE GOOD DAY SIR,1147.82,1148.92,L02F1-0189,DIFFERENT PILOT
F1-1,PCN3521 PCN3566,GOOD DAY PRECISION THIRTY FIVE SIXTY SIX CONTACT THE TOWER ONE ONE NINER     POINT ONE,1148.88,1151.67,L02F1-0190,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
PCN3566,F1-1,NINETEEN ONE SO LONG,1151.64,1152.66,L02F1-0191,
USA1524,F1-1,AH BOSTON APPROACH U S AIR FIFTEEN TWENTY FOUR SEVEN AND A HALF FOR SIX     THOUSAND,1162.63,1166.27,L02F1-0192,
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR BOSTON GOOD AFTERNOON DESCEND AND MAINTAIN     FOUR THOUSAND,1166.19,1169.31,L02F1-0193,
USA1524,F1-1,O K GOOD AFTERNOON CLEARED DOWN TO FOUR THOUSAND U S AIR FIFTEEN TWENTY     FOUR,1169.71,1172.89,L02F1-0194,
USA182,F1-1,APPROACH U S AIR (QUOTE S,1211.77,1214.98,L02F1-0195,
F1-1,USA182,U S AIR ONE EIGHTY TWO BOSTON APPROACH FLY HEADING ZERO TWO ZERO,1214.99,1217.78,L02F1-0196,
USA182,F1-1,ZERO TWO ZERO U S AIR (QUOTE S,1218.14,1220.06,L02F1-0197,
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR DESCEND AND MAINTAIN THREE THOUSAND,1222.42,1225.21,L02F1-0198,
USA1524,F1-1,DESCEND TO THREE U S AIR FIFTEEN TWENTY FOUR,1226.53,1228.49,L02F1-0199,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR DESCEND AND MAINTAIN THREE THOUSAND,1228.51,1231.16,L02F1-0200,
BTA3844,F1-1,OUT OF FOUR FOR THREE NOW THIRTY EIGHT FORTY FOUR,1231.19,1233.49,L02F1-0201,DIFFERENT PILOT
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR YOU CAN ACCEPT A BASE LEG NOW,1235.34,1238.0,L02F1-0202,
USA1524,F1-1,AFFIRMATIVE U S AIR FIFTEEN TWENTY FOUR,1239.66,1241.44,L02F1-0203,
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR TURN RIGHT HEADING TWO ZERO ZERO DESCEND AND     MAINTAIN TWO THOUSAND ADVISE RUNWAY TWO SEVEN IN SIGHT,1241.36,1246.66,L02F1-0204,
USA1524,F1-1,O K AH WE GOT AH TWO SEVEN IN SIGHT U S AIR FIFTEEN TWENTY FOUR,1247.83,1251.38,L02F1-0205,
F1-1,USA1524,U S AIR (QUOTE S,1251.43,1256.6,L02F1-0206,
USA1524,F1-1,FIFTEEN TWENTY FOUR O K CLEARED VISUAL TWO SEVEN,1257.08,1259.61,L02F1-0207,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR TRAFFIC TWELVE THIRTY THREE MILES SOUTH     BOUND ALTITUDE INDICATES ONE THOUSAND SIX HUNDRED,1259.95,1264.92,L02F1-0208,
BTA3844,F1-1,THIRTY EIGHT FORTY FOUR WE (QUOTE RE,1265.3,1267.53,L02F1-0209,
F1-1,USA182,U S AIR ONE EIGHTY TWO DESCEND AND MAINTAIN THREE THOUSAND,1298.66,1301.26,L02F1-0210,
USA182,F1-1,THREE THOUSAND U S (QUOTE S,1302.02,1303.91,L02F1-0211,
GAA418,F1-1,AND BOSTON BIZEX FOUR EIGHTEEN IS AH FIVE THOUSAND,1319.85,1322.49,L02F1-0212,
F1-1,GAA418,BIZEX FOUR EIGHTEEN BOSTON APPROACH ROGER,1322.64,1324.61,L02F1-0213,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR TRAFFIC (QUOTE S,1326.28,1330.48,L02F1-0214,
BTA3844,F1-1,O K THREE ZERO ZERO AND INTERCEPT JET LINK THIRTY EIGHT FORTY FOUR,1330.77,1333.15,L02F1-0215,ORIGINAL PILOT
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL HOLD     SHORT OF YOUR RUNWAY IF NEEDED CONTACT THE TOWER ONE ONE NINER POINT ONE     GOOD DAY,1333.13,1339.15,L02F1-0216,
USA1524,F1-1,NINETEEN ONE U S AIR FIFTEEN TWENTY FOUR,1339.71,1341.5,L02F1-0217,
F1-1,USA182,U S AIR ONE EIGHTY TWO TURN LEFT HEADING OF THREE THREE ZERO,1341.88,1344.85,L02F1-0218,
USA182,F1-1,THREE THREE O U S AIR (QUOTE S,1345.21,1347.05,L02F1-0219,
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR YOU (QUOTE RE,1347.2,1352.79,L02F1-0220,
BTA3844,F1-1,TWO TIL ESTABLISHED CLEARED FOR THE APPROACH JET LINK THIRTY EIGHT FORTY     FOUR,1352.95,1355.55,L02F1-0221,
GAA418,F1-1,AND BOSTON BIZEX FOUR EIGHTEEN HAS GOT THE AIRPORT IN SIGHT,1372.54,1374.91,L02F1-0222,
F1-1,GAA418,BIZEX FOUR EIGHTEEN ROGER LOWER ALTITUDE IN TWO MILES,1374.93,1377.21,L02F1-0223,
GAA418,F1-1,O K,1377.61,1378.31,L02F1-0224,
F1-1,USA182,U S AIR ONE EIGHTY TWO TURN LEFT HEADING THREE ZERO ZERO YOU (QUOTE RE,1378.64,1385.22,L02F1-0225,
USA182,F1-1,CLEARED THE I L S D M E TWO SEVEN U S AIR (QUOTE S,1385.56,1388.41,L02F1-0226,
F1-1,GAA418,BIZEX FOUR EIGHTEEN IS CLEARED VISUAL APPROACH RUNWAY TWO TWO LEFT AFTER     LANDING HOLD SHORT OF RUNWAY TWO SEVEN,1411.66,1415.69,L02F1-0227,
GAA418,F1-1,CLEARED FOR THE VISUAL BIZEX FOUR EIGHTEEN WE (QUOTE LL,1415.71,1418.65,L02F1-0228,
F1-1,GAA418 BTA3844,THANKS JET LINK THIRTY EIGHT FORTY FOUR MAINTAIN A HUNDRED AND SEVENTY     KNOTS TO RIPIT AND CONTACT THE TOWER ONE ONE NINER POINT ONE,1418.67,1423.14,L02F1-0229,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
BTA3844,F1-1,(UNINTELLIGIBLE,1423.17,1426.11,L02F1-0230,
F1-1,BTA3844 USA182,THANKS U S AIR ONE EIGHTY TWO MAINTAIN A HUNDRED AND SEVENTY KNOTS TO     RIPIT AND YOU CAN CONTACT THE TOWER NOW ONE ONE NINER POINT ONE,1426.12,1431.95,L02F1-0231,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
USA182,F1-1,BACK TO ONE SEVENTY U S AIR (QUOTE S,1432.37,1434.34,L02F1-0232,
TAP322,F1-1,BOSTON AH GOOD AFTERNOON AIR PORTUGAL AH THREE TWO TWO HEAVY ON A HEADING     TWO FOUR ZERO,1541.89,1547.1,L02F1-0233,
F1-1,TAP322,TRANS PORTUGAL THREE TWO TWO HEAVY INTERCEPT THE LOCALIZER,1547.27,1550.25,L02F1-0234,EITHER PREFIX IS APPROPRIATE ID FOR THIS AIRLINE
TAP322,F1-1,WILL DO,1550.64,1551.36,L02F1-0235,
F1-1,GAA418,BIZEX FOUR EIGHTEEN CONTACT THE TOWER ONE ONE NINER POINT ONE,1551.8,1554.2,L02F1-0236,
GAA418,F1-1,NINETEEN ONE BIZEX FOUR EIGHTEEN,1554.58,1556.23,L02F1-0237,
F1-1,BTA3806,JET LINK THIRTY EIGHT AH ZERO SIX BOSTON FLY HEADING OF THREE FOUR ZERO,1558.27,1561.34,L02F1-0238,
GAA500,F1-1,BO- YEAH BOSTON BIZEX FIVE HUNDRED FOUR THOUSAND FIVE HUNDRED V F R,1566.97,1571.44,L02F1-0239,
F1-1,GAA500,BIZEX FIVE HUNDRED BOSTON APPROACH ROGER EXPECT LOWER ALTITUDE IN SEVEN     MILES,1572.16,1575.48,L02F1-0240,
GAA500,F1-1,THANK YOU SIR,1575.63,1576.48,L02F1-0241,
AAL736,F1-1,BOSTON APPROACH AMERICAN SEVEN THIRTY SIX WITH YOU DESCENDING TO FIVE     ZERO THREE ZERO ON THE HEADING,1580.42,1584.59,L02F1-0242,
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX BOSTON APPROACH ROGER FLY HEADING THREE SIX     ZERO AND DESCEND AND MAINTAIN THREE THOUSAND,1585.48,1589.69,L02F1-0243,
AAL736,F1-1,DOWN TO THREE THREE SIX ZERO ON THE HEADING AMERICAN SEVEN THIRTY SIX,1589.67,1592.39,L02F1-0244,
BTA3806,F1-1,BOSTON JET LINK THIRTY EIGHT ZERO SIX WITH YOU WITH THE AH M D EIGHTY IN     SIGHT,1623.35,1626.55,L02F1-0245,
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX BOSTON APPROACH ROGER TURN LEFT HEADING     THREE THREE ZERO,1626.77,1629.92,L02F1-0246,
BTA3806,F1-1,LEFT THREE THREE ZERO JET LINK THIRTY EIGHT ZERO SIX,1630.19,1632.34,L02F1-0247,
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY REDUCE SPEED TO ONE SEVEN ZERO,1632.36,1635.02,L02F1-0248,
TAP322,F1-1,REDUCING ONE SEVEN ZERO PORTUGAL THREE TWENTY TWO,1635.19,1637.9,L02F1-0249,
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX TURN LEFT HEADING THREE THREE ZERO,1654.45,1656.74,L02F1-0250,
AAL736,F1-1,THREE THREE ZERO AMERICAN SEVEN THIRTY SIX,1656.7,1658.81,L02F1-0251,
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX DESCEND AND MAINTAIN THREE THOUSAND,1662.67,1665.01,L02F1-0252,
BTA3806,F1-1,OUT OF FOUR FOR THREE THOUSAND JET LINK THIRTY EIGHT ZERO SIX,1665.3,1667.42,L02F1-0253,
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY DESCEND AND MAINTAIN FOUR THOU WHEN     YOUR SPEED IS AT ONE SEVENTY DESCEND AND MAINTAIN FOUR THOUSAND,1667.54,1672.58,L02F1-0254,
TAP322,F1-1,AT SPEED AH ONE SEVENTY CLEAR FOUR THOUSAND THREE TWENTY TWO HEAVY,1673.4,1677.15,L02F1-0255,
F1-1,TAP322 BTA3806,THANKS JET LINK THIRTY EIGHT OH SIX YOUR BEST FORWARD SPEED FOR NOW     PLEASE,1677.14,1679.86,L02F1-0256,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
BTA3806,F1-1,THIRTY EIGHT ZERO SIX WE (QUOTE LL,1680.12,1681.6,L02F1-0257,
F1-1,GAA500,BIZEX FIVE HUNDRED DESCENT YOUR DISCRETION AFTER LANDING TWO TWO LEFT     HOLD SHORT OF RUNWAY TWO SEVEN,1686.48,1690.39,L02F1-0258,
GAA500,F1-1,OUR DISCRETION HOLD SHORT OF TWO SEVEN BIZEX AH FIVE HUNDRED,1690.64,1694.16,L02F1-0259,
F1-1,GAA500,THANKS BIZEX FIVE HUNDRED YOU (QUOTE RE,1694.31,1696.36,L02F1-0260,
GAA500,F1-1,WE (QUOTE LL,1696.6,1697.96,L02F1-0261,
F1-1,GAA500,K,1697.99,1698.38,L02F1-0262,
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX DESCEND AND MAINTAIN TWO THOUSAND,1713.66,1715.99,L02F1-0263,
AAL736,F1-1,DOWN TO TWO AMERICAN SEVEN THIRTY SIX,1716.15,1718.0,L02F1-0264,
F1-1,ATL405,AIR ATLANTIC FOUR OH FIVE BOSTON,1718.11,1719.54,L02F1-0265,
ATL405,F1-1,AIR ATLANTIC FOUR ZERO FIVE IS CHECKING IN OUT OF FIVE FOR FOUR THOUSAND,1720.26,1723.07,L02F1-0266,
F1-1,ATL405,ATLANTIC FOUR OH FIVE ROGER FLY HEADING TWO SIX ZERO AND DESCEND AND     MAINTAIN THREE THOUSAND,1723.02,1726.25,L02F1-0267,
ATL405,F1-1,TWO SIX ZERO THREE THOUSAND AIR ATLANTIC FOUR OH FIVE,1727.11,1729.64,L02F1-0268,
F1-1,ATL405 BTA3606,THANKS JET LINK THIRTY EIGHT OH SIX TURN LEFT HEADING THREE ZERO ZERO,1729.63,1732.09,L02F1-0269,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
BTA3806,F1-1,THREE HUNDRED ON THE HEADING JET LINK THIRTY EIGHT ZERO SIX,1732.24,1734.53,L02F1-0270,
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX AH MAINTAIN A HUNDRED AND NINETY KNOTS OR     GREATER ADVISE RUNWAY TWO SEVEN IN SIGHT,1736.83,1740.95,L02F1-0271,
AAL736,F1-1,WE GOT THE FIELD ONE NINETY OR BETTER AMERICAN SEVEN THIRTY SIX,1741.92,1744.78,L02F1-0272,
F1-1,AAL736,SEVEN THIRTY SIX YOU (QUOTE RE,1744.79,1749.33,L02F1-0273,
AAL736,F1-1,HUNDRED AND NINETY TO FIVE WE NUMBER ONE,1749.51,1751.13,L02F1-0274,
F1-1,AAL736,YES SIR,1751.23,1751.73,L02F1-0275,
AAL736,F1-1,WE (QUOTE LL,1751.86,1752.57,L02F1-0276,
COM915,F1-1,BOSTON APPROACH COMMUTER NINE FIFTEEN AT FOUR THOUSAND,1755.74,1758.31,L02F1-0277,
F1-1,COM915,COMMUTER NINE FIFTEEN BOSTON ROGER,1758.3,1759.84,L02F1-0278,
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX TRAFFIC THREE THIRTY FOUR MILES AND JUST     THREE MILES NOW (QUOTE S,1761.44,1770.39,L02F1-0279,
BTA3806,F1-1,ROGER WE CAN DO THAT WE GOT THE GUY IN SIGHT (UNINTELLIGIBLE,1770.79,1773.8,L02F1-0280,
F1-1,BTA3806,THIRTY EIGHT OH SIX FOLLOW THE AMERICAN M D EIGHTY YOU (QUOTE RE,1773.77,1777.46,L02F1-0281,
BTA3896,F1-1,O K FOLLOW AMERICAN MAINTAIN SPEED JET LINK THIRTY EIGHT ZERO SIX,1777.86,1780.22,L02F1-0282,
F1-1,GAA500,BIZEX FIVE HUNDRED YOU TURNING IN NOW,1781.07,1782.61,L02F1-0283,
GAA500,F1-1,HERE WE GO BIZEX FIVE HUNDRED (QUOTE S,1783.59,1785.69,L02F1-0284,
F1-1,GAA500,FIVE HUNDRED CONTACT THE TOWER ONE ONE NINER POINT ONE,1785.75,1787.64,L02F1-0285,
GAA500,F1-1,THANKS,1787.81,1788.48,L02F1-0286,
F1-1,ATL405,AIR ATLANTIC FOUR ZERO FIVE REDUCE SPEED TO ONE SEVEN ZERO AND FLY     HEADING TWO FIVE ZERO AND INTERCEPT THE LOCALIZER,1788.98,1793.56,L02F1-0287,
ATL405,F1-1,TWO FIVE ZERO FOR THE INTERCEPT AND AH SAY AGAIN THE SPEED TWO AH TWO     HUNDRED,1794.51,1798.45,L02F1-0288,
F1-1,ATL405,ONE SEVENTY,1798.42,1799.37,L02F1-0289,
ATL405,F1-1,ONE SEVENTY ATLANTIC FOUR OH FIVE,1799.61,1801.13,L02F1-0290,
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY YOU (QUOTE RE,1801.27,1809.23,L02F1-0291,
TAP322,F1-1,O K CONFIRM IT THE I L S,1809.37,1811.09,L02F1-0292,
F1-1,TAP322,YOU (QUOTE RE,1811.26,1816.53,L02F1-0293,
TAP322,F1-1,O K THANK YOU CLEAR I L S TWO SEVEN PORTUGAL THREE TWO TWO HEAVY,1816.59,1819.79,L02F1-0294,
F1-1,TAP322 ATL405,THANKS AIR ATLANTIC FOUR OH FIVE YOU (QUOTE RE,1819.77,1826.6,L02F1-0295,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
ATL405,F1-1,CHECK ALL O K WE (QUOTE LL,1827.07,1829.19,L02F1-0296,
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX TRAFFIC LANDING TWO TWO LEFT WILL SHORT OF YOUR     RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE GOOD DAY,1829.19,1834.03,L02F1-0297,
AAL736,F1-1,NINETEEN ONE GOOD DAY,1834.02,1835.24,L02F1-0298,
COA1072,F1-1,CONTINENTAL TEN SEVENTY TWO OUT OF SIX POINT EIGHT FOR FIVE THOUSAND KILO,1835.69,1839.52,L02F1-0299,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO THANKS,1839.57,1840.83,L02F1-0300,
F1-1,TPS1080,TRUMP TEN EIGHTY YOUR PRESENT HEADING DESCEND AND MAINTAIN FOUR THOUSAND,1841.11,1843.88,L02F1-0301,TWO PARTIES TALKING AT ONCE
F1-1,TPS1080,TRUMP TEN EIGHTY YOUR PRESENT HEADING DESCEND AND MAINTAIN FOUR THOUSAND,1844.15,1846.68,L02F1-0302,
TPS1080,F1-1,DESCEND TO FOUR TRUMP TEN EIGHTY,1846.76,1848.41,L02F1-0303,
F1-1,TPS1080 GAA500,THANKS BIZEX FIVE HUNDRED TOWER (QUOTE S,1848.48,1850.68,L02F1-0304,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
F1-1,COM915,COMMUTER NINE FIFTEEN FLY HEADING AH ONE NINER ZERO AND INTERCEPT THE     LOCALIZER DESCEND AND MAINTAIN THREE THOUSAND,1853.1,1857.89,L02F1-0305,
COM915,F1-1,ONE NINE ZERO WE (QUOTE LL,1857.91,1861.46,L02F1-0306,
CFL2112,F1-1,AND CARE TWENTY ONE TWELVE IS WITH YOU AT ONE POINT FIVE,1862.74,1865.27,L02F1-0307,
F1-1,CFL2112,CARE TWENTY ONE TWELVE ROGER PROCEED (UNINTELLIGIBLE,1865.22,1868.18,L02F1-0308,
CFL2112,F1-1,ROGER,1868.14,1868.83,L02F1-0309,
F1-1,TPS1080,TRUMP TEN EIGHTY TURN LEFT HEADING THREE SIX ZERO,1868.94,1870.77,L02F1-0310,
TPS1080,F1-1,LEFT THREE SIX OH TRUMP TEN EIGHTY,1872.59,1874.47,L02F1-0311,
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL     HOLD SHORT OF YOUR RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE GOOD DAY     GOOD JOB,1874.45,1879.37,L02F1-0312,
BTA3806,F1-1,(UNINTELLIGIBLE,1879.75,1881.47,L02F1-0313,
F1-1,COM915,COMMUTER NINE FIFTEEN REDUCE AND MAINTAIN A HUNDRED AND SEVENTY KNOTS TIL     LINDY YOU ARE TWO FROM WAYNE CROSS WAYNE THREE THOUSAND FEET OR ABOVE     CLEARED I L S RUNWAY TWO TWO LEFT APPROACH,1883.11,1890.22,L02F1-0314,
COM915,F1-1,WAYNE AT THREE THOUSAND AND AH ONE SEVENTY TO LINDY COMMUTER NINE FIFTEEN     WE (QUOTE RE,1890.55,1895.27,L02F1-0315,
F1-1,COM915 TAP322,THANKS TRANS PORTUGAL THREE TWO TWO HEAVY IF PRACTICAL REDUCE TO YOUR     APPROACH SPEED NOW,1895.29,1899.07,L02F1-0316,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
TAP322,F1-1,REDUCING APPROACH SPEED PORTUGAL THREE TWENTY TWO HEAVY,1899.39,1902.08,L02F1-0317,
F1-1,ATL405,AIR ATLANTIC FOUR OH FIVE CONTACT THE TOWER ONE NINETEEN ONE GOOD DAY,1902.06,1904.41,L02F1-0318,
ATL405,F1-1,FOUR ZERO FIVE SEE YOU,1904.72,1906.08,L02F1-0319,
F1-1,COM915,COMMUTER NINE FIFTEEN A HUNDRED TIL LINDY CONTACT THE TOWER ONE ONE NINER     POINT ONE GOOD DAY,1906.11,1910.16,L02F1-0320,
COM915,F1-1,NINETEEN ONE NINE FIFTEEN SO LONG,1910.13,1911.77,L02F1-0321,
F1-1,NERA3727,NERA THIRTY SEVEN TWENTY SEVEN BOSTON APPROACH YOU (QUOTE RE,1911.73,1918.92,L02F1-0322,
F1-1,NERA3727,NERA THIRTY SEVEN TWENTY SEVEN BOSTON ROGER NINE MILES FROM WAYNE CROSS     WAYNE THREE THOUSAND FEET OR ABOVE CLEARED I L S APPROACH RUNWAY TWO TWO     LEFT HOLD SHORT OF RUNWAY TWO SEVEN,1930.53,1936.87,L02F1-0324,
NERA3727,F1-1,CROSS WAYNE THREE OR ABOVE CLEARED FOR THE APPROACH HOLD SHORT OF TWO     SEVEN THIRTY SEVEN TWENTY SEVEN,1937.32,1941.92,L02F1-0325,
F1-1,TPS1080,TRUMP TEN EIGHTY TURN LEFT HEADING THREE THREE ZERO AND DESCEND AND     MAINTAIN THREE THOUSAND,1943.43,1946.45,L02F1-0326,
TPS1080,F1-1,LEFT THREE THREE OH LEAVING FOUR FOR THREE TRUMP TEN EIGHTY,1946.71,1949.86,L02F1-0327,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO TURN LEFT HEADING THREE SIX ZERO AND DESCEND     AND MAINTAIN THREE THOUSAND,1986.48,1989.81,L02F1-0328,
COA1072,F1-1,DOWN TO THREE HEADING THREE SIXTY CONTINENTAL TEN SEVENTY TWO OUT OF FIVE,1990.42,1993.74,L02F1-0329,
F1-1,COA1072 TPS1080,THANKS TRUMP TEN EIGHTY TURN LEFT HEADING THREE ZERO ZERO YOU (QUOTE RE,1993.72,2001.02,L02F1-0330,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION
TPS1080,F1-1,LEFT THREE HUNDRED CLEARED I L S D M E TWO SEVEN TWO TIL ESTABLISHED     TRUMP TEN EIGHTY,2001.35,2005.67,L02F1-0331,
F1-1,TPS1080,TRUMP TEN EIGHTY REDUCE NOW AND MAINTAIN A HUNDRED AND SEVENTY KNOTS TO     RIPIT PRESENTLY SEVEN IN TRAIL OF A HEAVY AIR BUS,2005.66,2010.49,L02F1-0332,
TPS1080,F1-1,ONE SEVENTY TO RIPIT TRUMP TEN EIGHTY,2011.04,2013.04,L02F1-0333,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO TURN LEFT HEADING THREE THREE ZERO,2040.33,2042.79,L02F1-0334,
COA1072,F1-1,THREE THREE ZERO CONTINENTAL TEN SEVENTY TWO,2043.76,2045.76,L02F1-0335,
F1-1,CFL2112,CARE TWENTY ONE TWELVE TURN RIGHT HEADING ZERO ONE ZERO,2046.09,2048.41,L02F1-0336,
CFL2112,F1-1,ZERO ONE ZERO CARE TWENTY ONE TWELVE,2048.65,2050.67,L02F1-0337,
F1-1,NERA3727,NERA THIRTY SEVEN TWENTY SEVEN CONTACT THE TOWER ONE ONE NINER POINT ONE     MAINTAIN AT LEAST A HUNDRED SEVENTY KNOTS TO LINDY,2062.96,2068.0,L02F1-0338,
F1-1,CFL2112,CARE TWENTY ONE TWELVE TRAFFIC AH TWO THIRTY THREE O (QUOTE CLOCK,2070.84,2074.55,L02F1-0340,
F1-1,TAP322,TRANS PORTUGAL THREE TWO TWO HEAVY BOSTON CONTACT BOSTON TOWER ONE ONE     NINER POINT ONE OVER,2076.63,2081.11,L02F1-0341,
TAP322,F1-1,NINETEEN ONE SO LONG,2081.17,2082.19,L02F1-0342,
PCN3508,F1-1,BOSTON PRECISION THIRTY FIVE ZERO EIGHT WITH YOU FIVE THOUSAND,2083.96,2086.82,L02F1-0343,
F1-1,PCN3508,THIRTY FIVE ZERO EIGHT BOSTON ROGER,2087.05,2088.47,L02F1-0344,
F1-1,TPS1080,TRUMP TEN EIGHTY TRAFFIC LANDING TWO TWO LEFT WILL HOLD SHORT OF YOUR     RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE,2091.02,2095.39,L02F1-0345,
TPS1080,F1-1,TRUMP TEN EIGHTY GOOD AFTERNOON,2095.65,2097.36,L02F1-0346,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO TURN LEFT HEADING THREE ZERO ZERO AND     INTERCEPT THE LOCALIZER,2097.38,2100.86,L02F1-0347,
COA1072,F1-1,THREE ZERO ZERO INTERCEPT CONTINENTAL TEN SEVENTY TWO,2100.94,2103.51,L02F1-0348,
F1-1,CFL2112,CARE TWENTY ONE TWELVE TRAFFIC TO FOLLOW IS TWO O (QUOTE CLOCK,2103.59,2108.5,L02F1-0349,
CFL2112,F1-1,CARE TWENTY ONE TWELVE HAS THAT TRAFFIC SIR,2108.65,2110.25,L02F1-0350,
F1-1,CFL2112,CARE TWENTY ONE TWELVE DESCENT YOUR DISCRETION FOLLOW THAT TRAFFIC     CAUTION THE WAKE TURBULENCE,2110.25,2113.51,L02F1-0351,
CFL2112,F1-1,TWENTY ONE TWELVE ROGER,2114.03,2115.23,L02F1-0352,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO TRAFFIC TEN O (QUOTE CLOCK,2115.29,2121.05,L02F1-0353,
COA1072,F1-1,ROGER THAT HE (QUOTE S,2121.35,2124.05,L02F1-0354,
SKM61,F1-1,APPROACH SKY MAS- SIXTY ONE IS WITH YOU AT FOUR THOUSAND FEET HEADING ONE     SIX ZERO,2124.95,2128.39,L02F1-0355,
F1-1,SKM61,MASTER SIXTY ONE BOSTON APPROACH ROGER,2128.41,2130.37,L02F1-0356,
COA380,F1-1,APPROACH CONTINENTAL THREE EIGHTY EIGHT POINT FOR FIVE THOUSAND,2131.14,2133.86,L02F1-0357,
F1-1,COA380,CONTINENTAL THREE EIGHTY BOSTON APPROACH FLY HEADING ZERO TWO ZERO,2134.02,2136.48,L02F1-0358,
COA380,F1-1,ZERO TWO ZERO CONTINENTAL THREE EIGHTY,2136.56,2138.2,L02F1-0359,
F1-1,PCN3508,PRECISION THIRTY FIVE ZERO EIGHT DESCEND AND MAINTAIN TWO THOUSAND,2147.59,2149.79,L02F1-0360,
PCN3508,F1-1,O K DOWN TO TWO THOUSAND PRECISION THIRTY FIVE ZERO EIGHT,2149.83,2151.94,L02F1-0361,
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO TRAFFIC IS ELEVEN O (QUOTE CLOCK,2152.52,2155.49,L02F1-0362,
COA1072,F1-1,O K AH CONTINENTAL TEN SEVENTY TWO LOOKING,2156.76,2159.82,L02F1-0363,
F1-1,COA1072,ACTUALLY CONTINENTAL TEN SEVENTY TWO HE (QUOTE S,2167.82,2174.93,L02F1-0364,
COA1072,F1-1,ALL RIGHT SIR OUT OF THREE THOUSAND CLEARED FOR THE APPROACH CONTINENTAL     TEN SEVENTY TWO,2175.46,2178.81,L02F1-0365,
F1-1,PCN3508,PRECISION THIRTY FIVE ZERO EIGHT YOU (QUOTE RE,2178.83,2183.27,L02F1-0366,
PCN3508,F1-1,THIRTY FIVE ZERO EIGHT LOOKING FOR TRAFFIC,2183.51,2185.27,L02F1-0367,
F1-1,PCN3508,THIRTY FIVE ZERO EIGHT FOLLOW THAT TRAFFIC TO RUNWAY TWO TWO LEFT AFTER     LANDING HOLD SHORT OF RUNWAY TWO SEVEN,2185.87,2189.78,L02F1-0368,
PCN3508,F1-1,O K WE (QUOTE RE,2190.01,2191.77,L02F1-0369,
