FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT,cleaned_text,normalized_text
USA182,F1-1,THREE THOUSAND U S (QUOTE S,1302.02,1303.91,L02F1-0211,,three thousand u s quote s,xxxx xxxx u s quote s
GAA418,F1-1,AND BOSTON BIZEX FOUR EIGHTEEN IS AH FIVE THOUSAND,1319.85,1322.49,L02F1-0212,,and boston bizex four eighteen is ah five thousand,and boston bizex xxxx xxxx is ah xxxx xxxx
F1-1,GAA418,BIZEX FOUR EIGHTEEN BOSTON APPROACH ROGER,1322.64,1324.61,L02F1-0213,,bizex four eighteen boston approach roger,bizex xxxx xxxx boston approach roger
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR TRAFFIC (QUOTE S,1326.28,1330.48,L02F1-0214,,jet link thirty eight forty four traffic quote s,jet link xxxx xxxx xxxx xxxx traffic quote s
BTA3844,F1-1,O K THREE ZERO ZERO AND INTERCEPT JET LINK THIRTY EIGHT FORTY FOUR,1330.77,1333.15,L02F1-0215,ORIGINAL PILOT,o k three zero zero and intercept jet link thirty eight forty four,o k xxxx xxxx xxxx and intercept jet link xxxx xxxx xxxx xxxx
F1-1,USA1524,U S AIR FIFTEEN TWENTY FOUR TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL HOLD     SHORT OF YOUR RUNWAY IF NEEDED CONTACT THE TOWER ONE ONE NINER POINT ONE     GOOD DAY,1333.13,1339.15,L02F1-0216,,u s air fifteen twenty four traffic landing runway two two left will hold short of your runway if needed contact the tower one one niner point one good day,u s air xxxx xxxx xxxx traffic landing runway xxx xxx left will hold short of your runway if needed contact the tower xxx xxx niner point xxx good day
USA1524,F1-1,NINETEEN ONE U S AIR FIFTEEN TWENTY FOUR,1339.71,1341.5,L02F1-0217,,nineteen one u s air fifteen twenty four,xxxx xxx u s air xxxx xxxx xxxx
F1-1,USA182,U S AIR ONE EIGHTY TWO TURN LEFT HEADING OF THREE THREE ZERO,1341.88,1344.85,L02F1-0218,,u s air one eighty two turn left heading of three three zero,u s air xxx xxxx xxx turn left heading of xxxx xxxx xxxx
USA182,F1-1,THREE THREE O U S AIR (QUOTE S,1345.21,1347.05,L02F1-0219,,three three o u s air quote s,xxxx xxxx o u s air quote s
F1-1,BTA3844,JET LINK THIRTY EIGHT FORTY FOUR YOU (QUOTE RE,1347.2,1352.79,L02F1-0220,,jet link thirty eight forty four you quote re,jet link xxxx xxxx xxxx xxxx you quote re
BTA3844,F1-1,TWO TIL ESTABLISHED CLEARED FOR THE APPROACH JET LINK THIRTY EIGHT FORTY     FOUR,1352.95,1355.55,L02F1-0221,,two til established cleared for the approach jet link thirty eight forty four,xxx til established cleared for the approach jet link xxxx xxxx xxxx xxxx
GAA418,F1-1,AND BOSTON BIZEX FOUR EIGHTEEN HAS GOT THE AIRPORT IN SIGHT,1372.54,1374.91,L02F1-0222,,and boston bizex four eighteen has got the airport in sight,and boston bizex xxxx xxxx has got the airport in sight
F1-1,GAA418,BIZEX FOUR EIGHTEEN ROGER LOWER ALTITUDE IN TWO MILES,1374.93,1377.21,L02F1-0223,,bizex four eighteen roger lower altitude in two miles,bizex xxxx xxxx roger lower altitude in xxx miles
GAA418,F1-1,O K,1377.61,1378.31,L02F1-0224,,o k,o k
F1-1,USA182,U S AIR ONE EIGHTY TWO TURN LEFT HEADING THREE ZERO ZERO YOU (QUOTE RE,1378.64,1385.22,L02F1-0225,,u s air one eighty two turn left heading three zero zero you quote re,u s air xxx xxxx xxx turn left heading xxxx xxxx xxxx you quote re
USA182,F1-1,CLEARED THE I L S D M E TWO SEVEN U S AIR (QUOTE S,1385.56,1388.41,L02F1-0226,,cleared the i l s d m e two seven u s air quote s,cleared the i l s d m e xxx xxxx u s air quote s
F1-1,GAA418,BIZEX FOUR EIGHTEEN IS CLEARED VISUAL APPROACH RUNWAY TWO TWO LEFT AFTER     LANDING HOLD SHORT OF RUNWAY TWO SEVEN,1411.66,1415.69,L02F1-0227,,bizex four eighteen is cleared visual approach runway two two left after landing hold short of runway two seven,bizex xxxx xxxx is cleared visual approach runway xxx xxx left after landing hold short of runway xxx xxxx
GAA418,F1-1,CLEARED FOR THE VISUAL BIZEX FOUR EIGHTEEN WE (QUOTE LL,1415.71,1418.65,L02F1-0228,,cleared for the visual bizex four eighteen we quote ll,cleared for the visual bizex xxxx xxxx we quote ll
F1-1,GAA418 BTA3844,THANKS JET LINK THIRTY EIGHT FORTY FOUR MAINTAIN A HUNDRED AND SEVENTY     KNOTS TO RIPIT AND CONTACT THE TOWER ONE ONE NINER POINT ONE,1418.67,1423.14,L02F1-0229,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks jet link thirty eight forty four maintain a hundred and seventy knots to ripit and contact the tower one one niner point one,thanks jet link xxxx xxxx xxxx xxxx maintain a xxxx and xxxx knots to ripit and contact the tower xxx xxx niner point xxx
BTA3844,F1-1,(UNINTELLIGIBLE,1423.17,1426.11,L02F1-0230,,unintelligible,unintelligible
F1-1,BTA3844 USA182,THANKS U S AIR ONE EIGHTY TWO MAINTAIN A HUNDRED AND SEVENTY KNOTS TO     RIPIT AND YOU CAN CONTACT THE TOWER NOW ONE ONE NINER POINT ONE,1426.12,1431.95,L02F1-0231,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks u s air one eighty two maintain a hundred and seventy knots to ripit and you can contact the tower now one one niner point one,thanks u s air xxx xxxx xxx maintain a xxxx and xxxx knots to ripit and you can contact the tower now xxx xxx niner point xxx
USA182,F1-1,BACK TO ONE SEVENTY U S AIR (QUOTE S,1432.37,1434.34,L02F1-0232,,back to one seventy u s air quote s,back to xxx xxxx u s air quote s
TAP322,F1-1,BOSTON AH GOOD AFTERNOON AIR PORTUGAL AH THREE TWO TWO HEAVY ON A HEADING     TWO FOUR ZERO,1541.89,1547.1,L02F1-0233,,boston ah good afternoon air portugal ah three two two heavy on a heading two four zero,boston ah good afternoon air portugal ah xxxx xxx xxx heavy on a heading xxx xxxx xxxx
F1-1,TAP322,TRANS PORTUGAL THREE TWO TWO HEAVY INTERCEPT THE LOCALIZER,1547.27,1550.25,L02F1-0234,EITHER PREFIX IS APPROPRIATE ID FOR THIS AIRLINE,trans portugal three two two heavy intercept the localizer,trans portugal xxxx xxx xxx heavy intercept the localizer
TAP322,F1-1,WILL DO,1550.64,1551.36,L02F1-0235,,will do,will do
F1-1,GAA418,BIZEX FOUR EIGHTEEN CONTACT THE TOWER ONE ONE NINER POINT ONE,1551.8,1554.2,L02F1-0236,,bizex four eighteen contact the tower one one niner point one,bizex xxxx xxxx contact the tower xxx xxx niner point xxx
GAA418,F1-1,NINETEEN ONE BIZEX FOUR EIGHTEEN,1554.58,1556.23,L02F1-0237,,nineteen one bizex four eighteen,xxxx xxx bizex xxxx xxxx
F1-1,BTA3806,JET LINK THIRTY EIGHT AH ZERO SIX BOSTON FLY HEADING OF THREE FOUR ZERO,1558.27,1561.34,L02F1-0238,,jet link thirty eight ah zero six boston fly heading of three four zero,jet link xxxx xxxx ah xxxx xxx boston fly heading of xxxx xxxx xxxx
GAA500,F1-1,BO- YEAH BOSTON BIZEX FIVE HUNDRED FOUR THOUSAND FIVE HUNDRED V F R,1566.97,1571.44,L02F1-0239,,bo yeah boston bizex five hundred four thousand five hundred v f r,bo yeah boston bizex xxxx xxxx xxxx xxxx xxxx xxxx v f r
F1-1,GAA500,BIZEX FIVE HUNDRED BOSTON APPROACH ROGER EXPECT LOWER ALTITUDE IN SEVEN     MILES,1572.16,1575.48,L02F1-0240,,bizex five hundred boston approach roger expect lower altitude in seven miles,bizex xxxx xxxx boston approach roger expect lower altitude in xxxx miles
GAA500,F1-1,THANK YOU SIR,1575.63,1576.48,L02F1-0241,,thank you sir,thank you sir
AAL736,F1-1,BOSTON APPROACH AMERICAN SEVEN THIRTY SIX WITH YOU DESCENDING TO FIVE     ZERO THREE ZERO ON THE HEADING,1580.42,1584.59,L02F1-0242,,boston approach american seven thirty six with you descending to five zero three zero on the heading,boston approach american xxxx xxxx xxx with you descending to xxxx xxxx xxxx xxxx on the heading
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX BOSTON APPROACH ROGER FLY HEADING THREE SIX     ZERO AND DESCEND AND MAINTAIN THREE THOUSAND,1585.48,1589.69,L02F1-0243,,american seven thirty six boston approach roger fly heading three six zero and descend and maintain three thousand,american xxxx xxxx xxx boston approach roger fly heading xxxx xxx xxxx and descend and maintain xxxx xxxx
AAL736,F1-1,DOWN TO THREE THREE SIX ZERO ON THE HEADING AMERICAN SEVEN THIRTY SIX,1589.67,1592.39,L02F1-0244,,down to three three six zero on the heading american seven thirty six,down to xxxx xxxx xxx xxxx on the heading american xxxx xxxx xxx
BTA3806,F1-1,BOSTON JET LINK THIRTY EIGHT ZERO SIX WITH YOU WITH THE AH M D EIGHTY IN     SIGHT,1623.35,1626.55,L02F1-0245,,boston jet link thirty eight zero six with you with the ah m d eighty in sight,boston jet link xxxx xxxx xxxx xxx with you with the ah m d xxxx in sight
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX BOSTON APPROACH ROGER TURN LEFT HEADING     THREE THREE ZERO,1626.77,1629.92,L02F1-0246,,jet link thirty eight oh six boston approach roger turn left heading three three zero,jet link xxxx xxxx oh xxx boston approach roger turn left heading xxxx xxxx xxxx
BTA3806,F1-1,LEFT THREE THREE ZERO JET LINK THIRTY EIGHT ZERO SIX,1630.19,1632.34,L02F1-0247,,left three three zero jet link thirty eight zero six,left xxxx xxxx xxxx jet link xxxx xxxx xxxx xxx
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY REDUCE SPEED TO ONE SEVEN ZERO,1632.36,1635.02,L02F1-0248,,trans portugal three twenty two heavy reduce speed to one seven zero,trans portugal xxxx xxxx xxx heavy reduce speed to xxx xxxx xxxx
TAP322,F1-1,REDUCING ONE SEVEN ZERO PORTUGAL THREE TWENTY TWO,1635.19,1637.9,L02F1-0249,,reducing one seven zero portugal three twenty two,reducing xxx xxxx xxxx portugal xxxx xxxx xxx
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX TURN LEFT HEADING THREE THREE ZERO,1654.45,1656.74,L02F1-0250,,american seven thirty six turn left heading three three zero,american xxxx xxxx xxx turn left heading xxxx xxxx xxxx
AAL736,F1-1,THREE THREE ZERO AMERICAN SEVEN THIRTY SIX,1656.7,1658.81,L02F1-0251,,three three zero american seven thirty six,xxxx xxxx xxxx american xxxx xxxx xxx
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX DESCEND AND MAINTAIN THREE THOUSAND,1662.67,1665.01,L02F1-0252,,jet link thirty eight oh six descend and maintain three thousand,jet link xxxx xxxx oh xxx descend and maintain xxxx xxxx
BTA3806,F1-1,OUT OF FOUR FOR THREE THOUSAND JET LINK THIRTY EIGHT ZERO SIX,1665.3,1667.42,L02F1-0253,,out of four for three thousand jet link thirty eight zero six,out of xxxx for xxxx xxxx jet link xxxx xxxx xxxx xxx
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY DESCEND AND MAINTAIN FOUR THOU WHEN     YOUR SPEED IS AT ONE SEVENTY DESCEND AND MAINTAIN FOUR THOUSAND,1667.54,1672.58,L02F1-0254,,trans portugal three twenty two heavy descend and maintain four thou when your speed is at one seventy descend and maintain four thousand,trans portugal xxxx xxxx xxx heavy descend and maintain xxxx thou when your speed is at xxx xxxx descend and maintain xxxx xxxx
TAP322,F1-1,AT SPEED AH ONE SEVENTY CLEAR FOUR THOUSAND THREE TWENTY TWO HEAVY,1673.4,1677.15,L02F1-0255,,at speed ah one seventy clear four thousand three twenty two heavy,at speed ah xxx xxxx clear xxxx xxxx xxxx xxxx xxx heavy
F1-1,TAP322 BTA3806,THANKS JET LINK THIRTY EIGHT OH SIX YOUR BEST FORWARD SPEED FOR NOW     PLEASE,1677.14,1679.86,L02F1-0256,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks jet link thirty eight oh six your best forward speed for now please,thanks jet link xxxx xxxx oh xxx your best forward speed for now please
BTA3806,F1-1,THIRTY EIGHT ZERO SIX WE (QUOTE LL,1680.12,1681.6,L02F1-0257,,thirty eight zero six we quote ll,xxxx xxxx xxxx xxx we quote ll
F1-1,GAA500,BIZEX FIVE HUNDRED DESCENT YOUR DISCRETION AFTER LANDING TWO TWO LEFT     HOLD SHORT OF RUNWAY TWO SEVEN,1686.48,1690.39,L02F1-0258,,bizex five hundred descent your discretion after landing two two left hold short of runway two seven,bizex xxxx xxxx descent your discretion after landing xxx xxx left hold short of runway xxx xxxx
GAA500,F1-1,OUR DISCRETION HOLD SHORT OF TWO SEVEN BIZEX AH FIVE HUNDRED,1690.64,1694.16,L02F1-0259,,our discretion hold short of two seven bizex ah five hundred,our discretion hold short of xxx xxxx bizex ah xxxx xxxx
F1-1,GAA500,THANKS BIZEX FIVE HUNDRED YOU (QUOTE RE,1694.31,1696.36,L02F1-0260,,thanks bizex five hundred you quote re,thanks bizex xxxx xxxx you quote re
GAA500,F1-1,WE (QUOTE LL,1696.6,1697.96,L02F1-0261,,we quote ll,we quote ll
F1-1,GAA500,K,1697.99,1698.38,L02F1-0262,,k,k
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX DESCEND AND MAINTAIN TWO THOUSAND,1713.66,1715.99,L02F1-0263,,american seven thirty six descend and maintain two thousand,american xxxx xxxx xxx descend and maintain xxx xxxx
AAL736,F1-1,DOWN TO TWO AMERICAN SEVEN THIRTY SIX,1716.15,1718.0,L02F1-0264,,down to two american seven thirty six,down to xxx american xxxx xxxx xxx
F1-1,ATL405,AIR ATLANTIC FOUR OH FIVE BOSTON,1718.11,1719.54,L02F1-0265,,air atlantic four oh five boston,air atlantic xxxx oh xxxx boston
ATL405,F1-1,AIR ATLANTIC FOUR ZERO FIVE IS CHECKING IN OUT OF FIVE FOR FOUR THOUSAND,1720.26,1723.07,L02F1-0266,,air atlantic four zero five is checking in out of five for four thousand,air atlantic xxxx xxxx xxxx is checking in out of xxxx for xxxx xxxx
F1-1,ATL405,ATLANTIC FOUR OH FIVE ROGER FLY HEADING TWO SIX ZERO AND DESCEND AND     MAINTAIN THREE THOUSAND,1723.02,1726.25,L02F1-0267,,atlantic four oh five roger fly heading two six zero and descend and maintain three thousand,atlantic xxxx oh xxxx roger fly heading xxx xxx xxxx and descend and maintain xxxx xxxx
ATL405,F1-1,TWO SIX ZERO THREE THOUSAND AIR ATLANTIC FOUR OH FIVE,1727.11,1729.64,L02F1-0268,,two six zero three thousand air atlantic four oh five,xxx xxx xxxx xxxx xxxx air atlantic xxxx oh xxxx
F1-1,ATL405 BTA3606,THANKS JET LINK THIRTY EIGHT OH SIX TURN LEFT HEADING THREE ZERO ZERO,1729.63,1732.09,L02F1-0269,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks jet link thirty eight oh six turn left heading three zero zero,thanks jet link xxxx xxxx oh xxx turn left heading xxxx xxxx xxxx
BTA3806,F1-1,THREE HUNDRED ON THE HEADING JET LINK THIRTY EIGHT ZERO SIX,1732.24,1734.53,L02F1-0270,,three hundred on the heading jet link thirty eight zero six,xxxx xxxx on the heading jet link xxxx xxxx xxxx xxx
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX AH MAINTAIN A HUNDRED AND NINETY KNOTS OR     GREATER ADVISE RUNWAY TWO SEVEN IN SIGHT,1736.83,1740.95,L02F1-0271,,american seven thirty six ah maintain a hundred and ninety knots or greater advise runway two seven in sight,american xxxx xxxx xxx ah maintain a xxxx and xxxx knots or greater advise runway xxx xxxx in sight
AAL736,F1-1,WE GOT THE FIELD ONE NINETY OR BETTER AMERICAN SEVEN THIRTY SIX,1741.92,1744.78,L02F1-0272,,we got the field one ninety or better american seven thirty six,we got the field xxx xxxx or better american xxxx xxxx xxx
F1-1,AAL736,SEVEN THIRTY SIX YOU (QUOTE RE,1744.79,1749.33,L02F1-0273,,seven thirty six you quote re,xxxx xxxx xxx you quote re
AAL736,F1-1,HUNDRED AND NINETY TO FIVE WE NUMBER ONE,1749.51,1751.13,L02F1-0274,,hundred and ninety to five we number one,xxxx and xxxx to xxxx we number xxx
F1-1,AAL736,YES SIR,1751.23,1751.73,L02F1-0275,,yes sir,yes sir
AAL736,F1-1,WE (QUOTE LL,1751.86,1752.57,L02F1-0276,,we quote ll,we quote ll
COM915,F1-1,BOSTON APPROACH COMMUTER NINE FIFTEEN AT FOUR THOUSAND,1755.74,1758.31,L02F1-0277,,boston approach commuter nine fifteen at four thousand,boston approach commuter xxxx xxxx at xxxx xxxx
F1-1,COM915,COMMUTER NINE FIFTEEN BOSTON ROGER,1758.3,1759.84,L02F1-0278,,commuter nine fifteen boston roger,commuter xxxx xxxx boston roger
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX TRAFFIC THREE THIRTY FOUR MILES AND JUST     THREE MILES NOW (QUOTE S,1761.44,1770.39,L02F1-0279,,jet link thirty eight oh six traffic three thirty four miles and just three miles now quote s,jet link xxxx xxxx oh xxx traffic xxxx xxxx xxxx miles and just xxxx miles now quote s
BTA3806,F1-1,ROGER WE CAN DO THAT WE GOT THE GUY IN SIGHT (UNINTELLIGIBLE,1770.79,1773.8,L02F1-0280,,roger we can do that we got the guy in sight unintelligible,roger we can do that we got the guy in sight unintelligible
F1-1,BTA3806,THIRTY EIGHT OH SIX FOLLOW THE AMERICAN M D EIGHTY YOU (QUOTE RE,1773.77,1777.46,L02F1-0281,,thirty eight oh six follow the american m d eighty you quote re,xxxx xxxx oh xxx follow the american m d xxxx you quote re
BTA3896,F1-1,O K FOLLOW AMERICAN MAINTAIN SPEED JET LINK THIRTY EIGHT ZERO SIX,1777.86,1780.22,L02F1-0282,,o k follow american maintain speed jet link thirty eight zero six,o k follow american maintain speed jet link xxxx xxxx xxxx xxx
F1-1,GAA500,BIZEX FIVE HUNDRED YOU TURNING IN NOW,1781.07,1782.61,L02F1-0283,,bizex five hundred you turning in now,bizex xxxx xxxx you turning in now
GAA500,F1-1,HERE WE GO BIZEX FIVE HUNDRED (QUOTE S,1783.59,1785.69,L02F1-0284,,here we go bizex five hundred quote s,here we go bizex xxxx xxxx quote s
F1-1,GAA500,FIVE HUNDRED CONTACT THE TOWER ONE ONE NINER POINT ONE,1785.75,1787.64,L02F1-0285,,five hundred contact the tower one one niner point one,xxxx xxxx contact the tower xxx xxx niner point xxx
GAA500,F1-1,THANKS,1787.81,1788.48,L02F1-0286,,thanks,thanks
F1-1,ATL405,AIR ATLANTIC FOUR ZERO FIVE REDUCE SPEED TO ONE SEVEN ZERO AND FLY     HEADING TWO FIVE ZERO AND INTERCEPT THE LOCALIZER,1788.98,1793.56,L02F1-0287,,air atlantic four zero five reduce speed to one seven zero and fly heading two five zero and intercept the localizer,air atlantic xxxx xxxx xxxx reduce speed to xxx xxxx xxxx and fly heading xxx xxxx xxxx and intercept the localizer
ATL405,F1-1,TWO FIVE ZERO FOR THE INTERCEPT AND AH SAY AGAIN THE SPEED TWO AH TWO     HUNDRED,1794.51,1798.45,L02F1-0288,,two five zero for the intercept and ah say again the speed two ah two hundred,xxx xxxx xxxx for the intercept and ah say again the speed xxx ah xxx xxxx
F1-1,ATL405,ONE SEVENTY,1798.42,1799.37,L02F1-0289,,one seventy,xxx xxxx
ATL405,F1-1,ONE SEVENTY ATLANTIC FOUR OH FIVE,1799.61,1801.13,L02F1-0290,,one seventy atlantic four oh five,xxx xxxx atlantic xxxx oh xxxx
F1-1,TAP322,TRANS PORTUGAL THREE TWENTY TWO HEAVY YOU (QUOTE RE,1801.27,1809.23,L02F1-0291,,trans portugal three twenty two heavy you quote re,trans portugal xxxx xxxx xxx heavy you quote re
TAP322,F1-1,O K CONFIRM IT THE I L S,1809.37,1811.09,L02F1-0292,,o k confirm it the i l s,o k confirm it the i l s
F1-1,TAP322,YOU (QUOTE RE,1811.26,1816.53,L02F1-0293,,you quote re,you quote re
TAP322,F1-1,O K THANK YOU CLEAR I L S TWO SEVEN PORTUGAL THREE TWO TWO HEAVY,1816.59,1819.79,L02F1-0294,,o k thank you clear i l s two seven portugal three two two heavy,o k thank you clear i l s xxx xxxx portugal xxxx xxx xxx heavy
F1-1,TAP322 ATL405,THANKS AIR ATLANTIC FOUR OH FIVE YOU (QUOTE RE,1819.77,1826.6,L02F1-0295,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks air atlantic four oh five you quote re,thanks air atlantic xxxx oh xxxx you quote re
ATL405,F1-1,CHECK ALL O K WE (QUOTE LL,1827.07,1829.19,L02F1-0296,,check all o k we quote ll,check all o k we quote ll
F1-1,AAL736,AMERICAN SEVEN THIRTY SIX TRAFFIC LANDING TWO TWO LEFT WILL SHORT OF YOUR     RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE GOOD DAY,1829.19,1834.03,L02F1-0297,,american seven thirty six traffic landing two two left will short of your runway contact the tower one one niner point one good day,american xxxx xxxx xxx traffic landing xxx xxx left will short of your runway contact the tower xxx xxx niner point xxx good day
AAL736,F1-1,NINETEEN ONE GOOD DAY,1834.02,1835.24,L02F1-0298,,nineteen one good day,xxxx xxx good day
COA1072,F1-1,CONTINENTAL TEN SEVENTY TWO OUT OF SIX POINT EIGHT FOR FIVE THOUSAND KILO,1835.69,1839.52,L02F1-0299,,continental ten seventy two out of six point eight for five thousand kilo,continental xxx xxxx xxx out of xxx point xxxx for xxxx xxxx kilo
F1-1,COA1072,CONTINENTAL TEN SEVENTY TWO THANKS,1839.57,1840.83,L02F1-0300,,continental ten seventy two thanks,continental xxx xxxx xxx thanks
F1-1,TPS1080,TRUMP TEN EIGHTY YOUR PRESENT HEADING DESCEND AND MAINTAIN FOUR THOUSAND,1841.11,1843.88,L02F1-0301,TWO PARTIES TALKING AT ONCE,trump ten eighty your present heading descend and maintain four thousand,trump xxx xxxx your present heading descend and maintain xxxx xxxx
F1-1,TPS1080,TRUMP TEN EIGHTY YOUR PRESENT HEADING DESCEND AND MAINTAIN FOUR THOUSAND,1844.15,1846.68,L02F1-0302,,trump ten eighty your present heading descend and maintain four thousand,trump xxx xxxx your present heading descend and maintain xxxx xxxx
TPS1080,F1-1,DESCEND TO FOUR TRUMP TEN EIGHTY,1846.76,1848.41,L02F1-0303,,descend to four trump ten eighty,descend to xxxx trump xxx xxxx
F1-1,TPS1080 GAA500,THANKS BIZEX FIVE HUNDRED TOWER (QUOTE S,1848.48,1850.68,L02F1-0304,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks bizex five hundred tower quote s,thanks bizex xxxx xxxx tower quote s
F1-1,COM915,COMMUTER NINE FIFTEEN FLY HEADING AH ONE NINER ZERO AND INTERCEPT THE     LOCALIZER DESCEND AND MAINTAIN THREE THOUSAND,1853.1,1857.89,L02F1-0305,,commuter nine fifteen fly heading ah one niner zero and intercept the localizer descend and maintain three thousand,commuter xxxx xxxx fly heading ah xxx niner xxxx and intercept the localizer descend and maintain xxxx xxxx
COM915,F1-1,ONE NINE ZERO WE (QUOTE LL,1857.91,1861.46,L02F1-0306,,one nine zero we quote ll,xxx xxxx xxxx we quote ll
CFL2112,F1-1,AND CARE TWENTY ONE TWELVE IS WITH YOU AT ONE POINT FIVE,1862.74,1865.27,L02F1-0307,,and care twenty one twelve is with you at one point five,and care xxxx xxx xxxx is with you at xxx point xxxx
F1-1,CFL2112,CARE TWENTY ONE TWELVE ROGER PROCEED (UNINTELLIGIBLE,1865.22,1868.18,L02F1-0308,,care twenty one twelve roger proceed unintelligible,care xxxx xxx xxxx roger proceed unintelligible
CFL2112,F1-1,ROGER,1868.14,1868.83,L02F1-0309,,roger,roger
F1-1,TPS1080,TRUMP TEN EIGHTY TURN LEFT HEADING THREE SIX ZERO,1868.94,1870.77,L02F1-0310,,trump ten eighty turn left heading three six zero,trump xxx xxxx turn left heading xxxx xxx xxxx
TPS1080,F1-1,LEFT THREE SIX OH TRUMP TEN EIGHTY,1872.59,1874.47,L02F1-0311,,left three six oh trump ten eighty,left xxxx xxx oh trump xxx xxxx
F1-1,BTA3806,JET LINK THIRTY EIGHT OH SIX TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL     HOLD SHORT OF YOUR RUNWAY CONTACT THE TOWER ONE ONE NINER POINT ONE GOOD DAY     GOOD JOB,1874.45,1879.37,L02F1-0312,,jet link thirty eight oh six traffic landing runway two two left will hold short of your runway contact the tower one one niner point one good day good job,jet link xxxx xxxx oh xxx traffic landing runway xxx xxx left will hold short of your runway contact the tower xxx xxx niner point xxx good day good job
BTA3806,F1-1,(UNINTELLIGIBLE,1879.75,1881.47,L02F1-0313,,unintelligible,unintelligible
F1-1,COM915,COMMUTER NINE FIFTEEN REDUCE AND MAINTAIN A HUNDRED AND SEVENTY KNOTS TIL     LINDY YOU ARE TWO FROM WAYNE CROSS WAYNE THREE THOUSAND FEET OR ABOVE     CLEARED I L S RUNWAY TWO TWO LEFT APPROACH,1883.11,1890.22,L02F1-0314,,commuter nine fifteen reduce and maintain a hundred and seventy knots til lindy you are two from wayne cross wayne three thousand feet or above cleared i l s runway two two left approach,commuter xxxx xxxx reduce and maintain a xxxx and xxxx knots til lindy you are xxx from wayne cross wayne xxxx xxxx feet or above cleared i l s runway xxx xxx left approach
COM915,F1-1,WAYNE AT THREE THOUSAND AND AH ONE SEVENTY TO LINDY COMMUTER NINE FIFTEEN     WE (QUOTE RE,1890.55,1895.27,L02F1-0315,,wayne at three thousand and ah one seventy to lindy commuter nine fifteen we quote re,wayne at xxxx xxxx and ah xxx xxxx to lindy commuter xxxx xxxx we quote re
F1-1,COM915 TAP322,THANKS TRANS PORTUGAL THREE TWO TWO HEAVY IF PRACTICAL REDUCE TO YOUR     APPROACH SPEED NOW,1895.29,1899.07,L02F1-0316,CONTROLLER TALKED TO TWO AIRCRAFT IN SAME TRANSMISSION,thanks trans portugal three two two heavy if practical reduce to your approach speed now,thanks trans portugal xxxx xxx xxx heavy if practical reduce to your approach speed now
TAP322,F1-1,REDUCING APPROACH SPEED PORTUGAL THREE TWENTY TWO HEAVY,1899.39,1902.08,L02F1-0317,,reducing approach speed portugal three twenty two heavy,reducing approach speed portugal xxxx xxxx xxx heavy
F1-1,ATL405,AIR ATLANTIC FOUR OH FIVE CONTACT THE TOWER ONE NINETEEN ONE GOOD DAY,1902.06,1904.41,L02F1-0318,,air atlantic four oh five contact the tower one nineteen one good day,air atlantic xxxx oh xxxx contact the tower xxx xxxx xxx good day
ATL405,F1-1,FOUR ZERO FIVE SEE YOU,1904.72,1906.08,L02F1-0319,,four zero five see you,xxxx xxxx xxxx see you
F1-1,COM915,COMMUTER NINE FIFTEEN A HUNDRED TIL LINDY CONTACT THE TOWER ONE ONE NINER     POINT ONE GOOD DAY,1906.11,1910.16,L02F1-0320,,commuter nine fifteen a hundred til lindy contact the tower one one niner point one good day,commuter xxxx xxxx a xxxx til lindy contact the tower xxx xxx niner point xxx good day
COM915,F1-1,NINETEEN ONE NINE FIFTEEN SO LONG,1910.13,1911.77,L02F1-0321,,nineteen one nine fifteen so long,xxxx xxx xxxx xxxx so long
F1-1,NERA3727,NERA THIRTY SEVEN TWENTY SEVEN BOSTON APPROACH YOU (QUOTE RE,1911.73,1918.92,L02F1-0322,,nera thirty seven twenty seven boston approach you quote re,nera xxxx xxxx xxxx xxxx boston approach you quote re
